No	Sample	N_SNPs	F_percent	E_percent	A_percent	full	N_SNPs	F_percent_pruned	E_percent_pruned	A_percent_pruned	pruned
55	HpGP-BRA-019	142237	100	0	0	hpgpAfrica	44787	96.15	0	3.85	hpgpAfrica
56	HpGP-BRA-020	142237	99.86	0.14	0	hpgpAfrica	44787	94.13	0	5.87	hpgpAfrica
57	HpGP-BRA-022	142237	92.71	7.29	0	hpgpAfrica	44787	95.27	0	4.73	hpgpAfrica
58	HpGP-BRA-023	142237	78.03	19.93	2.04	hpgpAfroamerica	44787	82.31	10.71	6.98	hpgpAfroamerica
59	HpGP-BRA-025	142237	30.82	69.18	0	hpgpEuroamerica	44787	31.89	68.11	0	hpgpEuroamerica
60	HpGP-CAN-001	142237	0	14.38	85.62	hpgpAsia	44787	0	13.67	86.33	hpgpAsia
61	HpGP-CAN-002	142237	81.03	10.48	8.49	hpgpAfroamerica	44787	77.14	14.62	8.23	hpgpAfroamerica
62	HpGP-CAN-004	142237	79.93	6.83	13.24	hpgpAfroamerica	44787	74.9	11.09	14.01	hpgpAfroamerica
63	HpGP-CAN-006	142237	21.49	0	78.51	hpgpAklavik86-like	44787	0	37.78	62.22	hpgpAklavik86-like
64	HpGP-CAN-007	142237	20.31	0	79.69	hpgpAklavik86-like	44787	0	36.13	63.87	hpgpAklavik86-like
65	HpGP-CAN-008	142237	0	82.1	17.9	hpgpEurasia	44787	0	82.33	17.67	hpgpEurasia
66	HpGP-CAN-010	142237	23.34	0	76.66	hpgpAklavik86-like	44787	0	37.46	62.54	hpgpAklavik86-like
67	HpGP-CAN-011	142237	21.41	0	78.59	hpgpAklavik86-like	44787	0	37.88	62.12	hpgpAklavik86-like
68	HpGP-CAN-012	142237	81.72	12.36	5.92	hpgpAfroamerica	44787	82.36	7.18	10.46	hpgpAfroamerica
69	HpGP-CAN-014	142237	5.77	53.95	40.28	hpgpEurasia	44787	0	66.79	33.21	hpgpEurasia
70	HpGP-CAN-015	142237	23.18	0	76.82	hpgpAklavik86-like	44787	0	37.53	62.47	hpgpAklavik86-like
71	HpGP-CAN-016	142237	21.48	0	78.52	hpgpAklavik86-like	44787	0	39.44	60.56	hpgpAklavik86-like
72	HpGP-CAN-017	142237	0.9	66.61	32.48	hpgpEurasia	44787	0	67.74	32.26	hpgpEurasia
73	HpGP-CAN-018	142237	28	0	72	hpgpAklavik86-like	44787	2.66	37.71	59.63	hpgpAklavik86-like
74	HpGP-CAN-019	142237	20.49	0	79.51	hpgpAklavik86-like	44787	0	33	67	hpgpAklavik86-like
