No	Sample	N_SNPs	F_percent	E_percent	A_percent	full	N_SNPs	F_percent_pruned	E_percent_pruned	A_percent_pruned	pruned
229	HpGP-FRA-019	142237	7.68	92.32	0	hpgpEurope	44787	10.83	89.17	0	hpgpEurope
230	HpGP-FRA-020	142237	23.63	76.37	0	hpgpMediterranea	44787	23.87	76.13	0	hpgpMediterranea
231	HpGP-FRA-021	142237	6.58	93.42	0	hpgpEurope	44787	8.92	91.08	0	hpgpEurope
232	HpGP-GER-001	142237	0	100	0	hpgpEurope	44787	0	100	0	hpgpEurope
233	HpGP-GER-002	142237	2.22	97.78	0	hpgpEurope	44787	2.66	97.34	0	hpgpEurope
234	HpGP-GER-003	142237	7.78	92.22	0	hpgpEurope	44787	8.83	91.17	0	hpgpEurope
235	HpGP-GER-004	142237	0	100	0	hpgpEurope	44787	1.65	98.35	0	hpgpEurope
236	HpGP-GER-005	142237	0	97.97	2.03	hpgpEurope	44787	0	99.31	0.69	hpgpEurope
237	HpGP-GER-006	142237	0.96	99.04	0	hpgpEurope	44787	0	100	0	hpgpEurope
238	HpGP-GER-007	142237	0.15	98.56	1.29	hpgpEurope	44787	0	100	0	hpgpEurope
239	HpGP-GER-009	142237	1.59	98.41	0	hpgpEurope	44787	0.71	99.29	0	hpgpEurope
240	HpGP-GER-010	142237	0	99.87	0.13	hpgpEurope	44787	0	97.93	2.07	hpgpEurope
241	HpGP-GER-012	142237	0	97.53	2.47	hpgpEurope	44787	0	97.08	2.92	hpgpEurope
242	HpGP-GER-013	142237	1.68	97.87	0.45	hpgpEurope	44787	1.39	95.04	3.57	hpgpEurope
243	HpGP-GER-015	142237	0	95.66	4.34	hpgpEurope	44787	0	95.97	4.03	hpgpEurope
244	HpGP-GER-016	142237	0	99.25	0.75	hpgpEurope	44787	0	100	0	hpgpEurope
245	HpGP-GER-018	142237	12.21	87.79	0	hpgpMediterranea	44787	15.39	84.61	0	hpgpMediterranea
246	HpGP-GER-019	142237	3.67	96.33	0	hpgpEurope	44787	5.41	94.59	0	hpgpEurope
247	HpGP-GER-020	142237	0.06	99.94	0	hpgpEurope	44787	0	100	0	hpgpEurope
248	HpGP-GER-021	142237	0.79	97.67	1.54	hpgpEurope	44787	0	95.46	4.54	hpgpEurope
249	HpGP-GHA-003	142237	100	0	0	hpgpAfrica	44787	97.06	0	2.94	hpgpAfrica
250	HpGP-GHA-009	142237	100	0	0	hpgpAfrica	44787	96.25	0	3.75	hpgpAfrica
251	HpGP-GMB-003	142237	99.31	0	0.69	hpgpAfrica	44787	100	0	0	hpgpAfrica
252	HpGP-GMB-004	142237	99.85	0	0.15	hpgpAfrica	44787	98.81	0	1.19	hpgpAfrica
253	HpGP-GMB-007	142237	99.19	0	0.81	hpgpAfrica	44787	97.23	0	2.77	hpgpAfrica
254	HpGP-GMB-008	142237	100	0	0	hpgpAfrica	44787	99.63	0	0.37	hpgpAfrica
255	HpGP-GMB-009	142237	100	0	0	hpgpAfrica	44787	95.13	0	4.87	hpgpAfrica
256	HpGP-GRE-001	142237	2.51	97.49	0	hpgpEurope	44787	2.71	97.29	0	hpgpEurope
257	HpGP-GRE-002	142237	2.53	97.47	0	hpgpEurope	44787	4.78	95.22	0	hpgpEurope
258	HpGP-GRE-003	142237	3.64	96.36	0	hpgpEurope	44787	7.05	92.95	0	hpgpEurope
259	HpGP-GRE-004	142237	2.34	97.66	0	hpgpEurope	44787	4.28	95.72	0	hpgpEurope
260	HpGP-GRE-005	142237	4.5	95.5	0	hpgpEurope	44787	6.77	93.23	0	hpgpEurope
261	HpGP-GRE-006	142237	0	100	0	hpgpEurope	44787	1.15	98.85	0	hpgpEurope
262	HpGP-GRE-008	142237	1.07	98.93	0	hpgpEurope	44787	1.6	98.4	0	hpgpEurope
263	HpGP-GRE-011	142237	0	100	0	hpgpEurope	44787	0	100	0	hpgpEurope
264	HpGP-GRE-012	142237	2.86	97.14	0	hpgpEurope	44787	5.7	94.3	0	hpgpEurope
265	HpGP-GRE-018	142237	0.41	99.59	0	hpgpEurope	44787	2.4	97.6	0	hpgpEurope
266	HpGP-GRE-019	142237	1.63	98.37	0	hpgpEurope	44787	4.32	95.68	0	hpgpEurope
267	HpGP-GRE-020	142237	2.85	97.15	0	hpgpEurope	44787	5.16	94.84	0	hpgpEurope
268	HpGP-GRE-022	142237	2.7	97.3	0	hpgpEurope	44787	6.32	93.68	0	hpgpEurope
269	HpGP-GRE-036	142237	2.89	97.11	0	hpgpEurope	44787	5.44	94.56	0	hpgpEurope
270	HpGP-GRE-039	142237	3.55	96.45	0	hpgpEurope	44787	4.8	95.2	0	hpgpEurope
271	HpGP-GRE-040	142237	10.87	89.13	0	hpgpMediterranea	44787	14.92	85.08	0	hpgpMediterranea
272	HpGP-GRE-041	142237	1.95	98.05	0	hpgpEurope	44787	3.29	96.71	0	hpgpEurope
273	HpGP-GRE-042	142237	4.99	95.01	0	hpgpEurope	44787	7.65	92.35	0	hpgpEurope
274	HpGP-GRE-043	142237	2.42	97.58	0	hpgpEurope	44787	5.83	94.17	0	hpgpEurope
275	HpGP-GRE-044	142237	1.94	98.06	0	hpgpEurope	44787	3.7	96.3	0	hpgpEurope
276	HpGP-GRE-046	142237	1.95	98.05	0	hpgpEurope	44787	3.29	96.71	0	hpgpEurope
277	HpGP-GTM-004	142237	32.26	65.56	2.18	hpgpEuroamerica	44787	33.17	66.83	0	hpgpEuroamerica
278	HpGP-GTM-007	142237	21.53	76.36	2.11	hpgpMediterranea	44787	18.34	81.66	0	hpgpMediterranea
279	HpGP-GTM-010	142237	82.04	15.06	2.9	hpgpAfroamerica	44787	85.65	7.14	7.2	hpgpAfroamerica
280	HpGP-HON-001	142237	31.67	68.33	0	hpgpEuroamerica	44787	30.25	69.75	0	hpgpEuroamerica
281	HpGP-HON-002	142237	33.05	66.95	0	hpgpEuroamerica	44787	32.87	67.13	0	hpgpEuroamerica
282	HpGP-HON-003	142237	72.12	26.84	1.04	hpgpAfroamerica	44787	73.08	25.95	0.97	hpgpAfroamerica
283	HpGP-HON-004	142237	77.9	15.48	6.61	hpgpAfroamerica	44787	83.03	5.33	11.65	hpgpAfroamerica
284	HpGP-HON-005	142237	34.18	65.82	0	hpgpEuroamerica	44787	33.85	66.15	0	hpgpEuroamerica
285	HpGP-HON-006	142237	52.55	47.45	0	hpgpEuroamerica	44787	50.93	49.07	0	hpgpEuroamerica
286	HpGP-HON-007	142237	74.86	24.19	0.95	hpgpAfroamerica	44787	76.61	22.11	1.28	hpgpAfroamerica
287	HpGP-HON-009	142237	31	67.67	1.33	hpgpEuroamerica	44787	32.52	67.48	0	hpgpEuroamerica
288	HpGP-HON-010	142237	61.72	37.2	1.08	hpgpAfroamerica	44787	61.81	37.05	1.14	hpgpAfroamerica
289	HpGP-HON-011	142237	29.75	70.25	0	hpgpEuroamerica	44787	29.27	70.73	0	hpgpEuroamerica
290	HpGP-HON-012	142237	66.41	29.62	3.97	hpgpAfroamerica	44787	71.32	21.9	6.78	hpgpAfroamerica
291	HpGP-HON-013	142237	72.39	24.06	3.55	hpgpAfroamerica	44787	70.26	26.33	3.41	hpgpAfroamerica
292	HpGP-HON-014	142237	63.67	33.57	2.75	hpgpAfroamerica	44787	60.89	39.11	0	hpgpAfroamerica
293	HpGP-HON-015	142237	67.05	32.95	0	hpgpAfroamerica	44787	69.48	28.45	2.07	hpgpAfroamerica
294	HpGP-HON-016	142237	27.14	71.28	1.58	hpgpEuroamerica	44787	27.65	72.13	0.22	hpgpEuroamerica
295	HpGP-HON-017	142237	85.17	14.35	0.48	hpgpAfrica	44787	90.18	6.15	3.67	hpgpAfrica
296	HpGP-HON-018	142237	73.77	25.59	0.65	hpgpAfroamerica	44787	74.81	24.75	0.44	hpgpAfroamerica
297	HpGP-HON-019	142237	79.64	20.36	0	hpgpAfroamerica	44787	82.27	16.44	1.29	hpgpAfroamerica
298	HpGP-HON-020	142237	68.52	30.93	0.55	hpgpAfroamerica	44787	71.09	27.26	1.66	hpgpAfroamerica
299	HpGP-HON-021	142237	70.3	26.48	3.23	hpgpAfroamerica	44787	74.24	21.06	4.7	hpgpAfroamerica
300	HpGP-HON-023	142237	67.29	29.69	3.02	hpgpAfroamerica	44787	68.17	27.48	4.35	hpgpAfroamerica
301	HpGP-HON-024	142237	15.2	84.8	0	hpgpMediterranea	44787	16.38	83.62	0	hpgpMediterranea
302	HpGP-HON-025	142237	24.25	75.75	0	hpgpEuroamerica	44787	26.47	73.53	0	hpgpEuroamerica
303	HpGP-HON-026	142237	29.06	69.49	1.45	hpgpEuroamerica	44787	27.43	72.57	0	hpgpEuroamerica
304	HpGP-HON-027	142237	26.88	73.12	0	hpgpEuroamerica	44787	29.87	70.13	0	hpgpEuroamerica
305	HpGP-HON-028	142237	29.48	70.01	0.51	hpgpEuroamerica	44787	27.73	72.27	0	hpgpEuroamerica
306	HpGP-IDN-001	142237	17.15	57.18	25.68	hpgpEuroamerica	44787	23.9	56.1	20	hpgpEuroamerica
307	HpGP-IDN-002	142237	0.77	0.89	98.34	hpgpAsia	44787	0	6.51	93.49	hpgpAsia
308	HpGP-IDN-003	142237	3.81	88.57	7.62	hpgpEurope	44787	4.81	88.72	6.47	hpgpEurope
309	HpGP-IDN-004	142237	0.48	96.42	3.1	hpgpEurope	44787	0	94.21	5.79	hpgpEurope
310	HpGP-IDN-005	142237	0.66	2.65	96.69	hpgpAsia	44787	0	6.79	93.21	hpgpAsia
311	HpGP-IDN-006	142237	17.64	82.36	0	hpgpMediterranea	44787	20.19	79.81	0	hpgpMediterranea
312	HpGP-IDN-007	142237	4.52	15.63	79.85	hpgpAsia	44787	2.71	19.47	77.82	hpgpAsia
313	HpGP-IDN-008	142237	1.09	2	96.91	hpgpAsia	44787	0	7.09	92.91	hpgpAsia
314	HpGP-IDN-009	142237	20.95	78.19	0.86	hpgpMediterranea	44787	21.52	78.48	0	hpgpMediterranea
315	HpGP-IDN-010	142237	1.77	47.36	50.87	hpgpEurasia	44787	0	56.05	43.95	hpgpEurasia
316	HpGP-IDN-011	142237	9.6	33.35	57.05	hpgpEurasia	44787	0	54.19	45.81	hpgpEurasia
317	HpGP-IND-001	142237	2.5	54.64	42.86	hpgpEurasia	44787	0	70.78	29.22	hpgpEurasia
318	HpGP-IND-002	142237	7.28	84.42	8.3	hpgpEurope	44787	6.79	88.97	4.24	hpgpEurope
319	HpGP-IND-003	142237	0	94.28	5.72	hpgpEurope	44787	0	93.77	6.23	hpgpEurope
320	HpGP-IND-004	142237	3.58	95.16	1.26	hpgpEurope	44787	1.51	98.49	0	hpgpEurope
321	HpGP-IND-005	142237	6.71	93.11	0.18	hpgpEurope	44787	5.71	94.29	0	hpgpEurope
322	HpGP-IND-006	142237	8.8	91.2	0	hpgpEurope	44787	10.63	89.37	0	hpgpEurope
323	HpGP-IND-007	142237	2.06	57.85	40.09	hpgpEurasia	44787	0	75.41	24.59	hpgpEurasia
324	HpGP-IND-008	142237	2.69	63.58	33.73	hpgpEurasia	44787	0	75.66	24.34	hpgpEurasia
325	HpGP-IND-009	142237	2.96	58.12	38.93	hpgpEurasia	44787	0	74.76	25.24	hpgpEurasia
326	HpGP-IND-010	142237	2.52	61.48	36	hpgpEurasia	44787	0	75.18	24.82	hpgpEurasia
327	HpGP-IRN-001	142237	0	98.14	1.86	hpgpEurope	44787	1.51	95.32	3.17	hpgpEurope
328	HpGP-IRN-002	142237	1.61	98.39	0	hpgpEurope	44787	3.71	96.29	0	hpgpEurope
329	HpGP-IRN-003	142237	2.31	97.69	0	hpgpEurope	44787	4.53	95.47	0	hpgpEurope
330	HpGP-IRN-009	142237	0.27	99.73	0	hpgpEurope	44787	1.55	98.45	0	hpgpEurope
331	HpGP-ISL-001	142237	0	79.59	20.41	hpgpEurasia	44787	0	77.05	22.95	hpgpEurasia
332	HpGP-ISL-002	142237	0	79.98	20.02	hpgpEurasia	44787	0	75.23	24.77	hpgpEurasia
333	HpGP-ISL-003	142237	0	79.96	20.04	hpgpEurasia	44787	0	76.74	23.26	hpgpEurasia
334	HpGP-ISL-004	142237	0	79.33	20.67	hpgpEurasia	44787	0	76.2	23.8	hpgpEurasia
335	HpGP-ISL-005	142237	0	79.98	20.02	hpgpEurasia	44787	0	74.63	25.37	hpgpEurasia
336	HpGP-ISL-006	142237	0	79.68	20.32	hpgpEurasia	44787	0	75.34	24.66	hpgpEurasia
337	HpGP-ISL-007	142237	0	79.06	20.94	hpgpEurasia	44787	0	77.15	22.85	hpgpEurasia
338	HpGP-ISL-008	142237	0	79.25	20.75	hpgpEurasia	44787	0	76.73	23.27	hpgpEurasia
339	HpGP-ISL-009	142237	0	79.51	20.49	hpgpEurasia	44787	0	75.95	24.05	hpgpEurasia
340	HpGP-ISL-010	142237	0	79.6	20.4	hpgpEurasia	44787	0	77.7	22.3	hpgpEurasia
341	HpGP-ISL-011	142237	0	78.37	21.63	hpgpEurasia	44787	0	74.89	25.11	hpgpEurasia
342	HpGP-ISR-001	142237	6.3	93.7	0	hpgpEurope	44787	12.27	87.73	0	hpgpMediterranea
343	HpGP-ISR-002	142237	5.29	94.71	0	hpgpEurope	44787	11.17	88.83	0	hpgpEurope
344	HpGP-ISR-003	142237	9.84	90.16	0	hpgpMediterranea	44787	13.21	86.79	0	hpgpMediterranea
345	HpGP-ISR-004	142237	5.93	94.07	0	hpgpEurope	44787	10.8	89.2	0	hpgpMediterranea
346	HpGP-ISR-005	142237	14.81	85.19	0	hpgpMediterranea	44787	16.85	83.15	0	hpgpMediterranea
347	HpGP-ISR-006	142237	0.53	99.47	0	hpgpEurope	44787	1.94	98.06	0	hpgpEurope
348	HpGP-ISR-007	142237	5.81	94.19	0	hpgpEurope	44787	8.42	91.58	0	hpgpEurope
349	HpGP-ISR-008	142237	15.3	84.7	0	hpgpMediterranea	44787	19.58	80.42	0	hpgpMediterranea
350	HpGP-ISR-009	142237	15.91	84.09	0	hpgpMediterranea	44787	18.5	81.5	0	hpgpMediterranea
351	HpGP-ISR-010	142237	6.09	93.91	0	hpgpEurope	44787	9.7	90.3	0	hpgpEurope
352	HpGP-ITA-001	142237	1.67	98.33	0	hpgpEurope	44787	5.54	94.46	0	hpgpEurope
353	HpGP-ITA-002	142237	3.23	96.77	0	hpgpEurope	44787	6.98	93.02	0	hpgpEurope
354	HpGP-ITA-003	142237	10.01	89.99	0	hpgpMediterranea	44787	13.08	86.92	0	hpgpMediterranea
355	HpGP-ITA-004	142237	3.35	96.65	0	hpgpEurope	44787	6.2	93.8	0	hpgpEurope
356	HpGP-ITA-005	142237	10.75	89.25	0	hpgpMediterranea	44787	12.33	87.67	0	hpgpMediterranea
357	HpGP-ITA-006	142237	3.41	96.59	0	hpgpEurope	44787	5.24	94.76	0	hpgpEurope
358	HpGP-ITA-007	142237	3.53	96.47	0	hpgpEurope	44787	4.55	95.45	0	hpgpEurope
359	HpGP-ITA-008	142237	1.19	98.81	0	hpgpEurope	44787	5.42	94.49	0.1	hpgpEurope
360	HpGP-ITA-009	142237	5.61	94.39	0	hpgpEurope	44787	7.03	92.97	0	hpgpEurope
361	HpGP-ITA-010	142237	3.03	96.97	0	hpgpEurope	44787	1.7	98.3	0	hpgpEurope
362	HpGP-ITA-011	142237	9.32	90.68	0	hpgpMediterranea	44787	14.7	85.3	0	hpgpMediterranea
363	HpGP-ITA-012	142237	3.28	96.72	0	hpgpEurope	44787	4.9	95.1	0	hpgpEurope
364	HpGP-ITA-013	142237	3.65	96.35	0	hpgpEurope	44787	4.27	95.73	0	hpgpEurope
365	HpGP-ITA-014	142237	5.39	94.61	0	hpgpEurope	44787	6.05	93.95	0	hpgpEurope
366	HpGP-ITA-015	142237	3.14	96.86	0	hpgpEurope	44787	3.07	96.93	0	hpgpEurope
367	HpGP-ITA-016	142237	4.44	95.56	0	hpgpEurope	44787	6.47	93.53	0	hpgpEurope
368	HpGP-ITA-017	142237	3.79	96.21	0	hpgpEurope	44787	6.67	93.33	0	hpgpEurope
369	HpGP-ITA-018	142237	5.4	94.6	0	hpgpEurope	44787	6.38	93.62	0	hpgpEurope
370	HpGP-ITA-019	142237	2.82	97.18	0	hpgpEurope	44787	4.29	95.71	0	hpgpEurope
371	HpGP-ITA-020	142237	3.13	96.87	0	hpgpEurope	44787	1.86	98.14	0	hpgpEurope
372	HpGP-ITA-022	142237	0	99.16	0.84	hpgpEurope	44787	0	98.83	1.17	hpgpEurope
373	HpGP-ITA-023	142237	3.91	96.09	0	hpgpEurope	44787	4.26	95.74	0	hpgpEurope
374	HpGP-ITA-024	142237	1.81	98.19	0	hpgpEurope	44787	2.75	97.25	0	hpgpEurope
375	HpGP-ITA-025	142237	2.93	97.07	0	hpgpEurope	44787	4.26	95.74	0	hpgpEurope
376	HpGP-ITA-026	142237	4.23	95.77	0	hpgpEurope	44787	6.01	93.99	0	hpgpEurope
377	HpGP-ITA-027	142237	0.73	99.27	0	hpgpEurope	44787	1.15	98.85	0	hpgpEurope
378	HpGP-ITA-028	142237	0.44	99.56	0	hpgpEurope	44787	1.33	98.67	0	hpgpEurope
379	HpGP-ITA-029	142237	1.2	98.8	0	hpgpEurope	44787	3.67	96.33	0	hpgpEurope
380	HpGP-ITA-030	142237	1.93	98.07	0	hpgpEurope	44787	2.94	97.06	0	hpgpEurope
381	HpGP-JAP-002	142237	0.14	0	99.86	hpgpAsia	44787	0.73	0	99.27	hpgpAsia
382	HpGP-JAP-009	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
383	HpGP-JAP-010	142237	0	0	100	hpgpAsia	44787	0.89	0	99.11	hpgpAsia
384	HpGP-JAP-012	142237	0.28	0	99.72	hpgpAsia	44787	1.51	0	98.49	hpgpAsia
385	HpGP-JAP-013	142237	0	0	100	hpgpAsia	44787	0	0.04	99.96	hpgpAsia
386	HpGP-JAP-015	142237	0	0	100	hpgpAsia	44787	1.25	0	98.75	hpgpAsia
387	HpGP-JAP-016	142237	0.01	0	99.99	hpgpAsia	44787	1.27	0	98.73	hpgpAsia
388	HpGP-JAP-017	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
389	HpGP-JAP-019	142237	0	0	100	hpgpAsia	44787	0.23	0	99.77	hpgpAsia
390	HpGP-JAP-021	142237	0.12	0	99.88	hpgpAsia	44787	2.05	0	97.95	hpgpAsia
391	HpGP-JAP-022	142237	0	0	100	hpgpAsia	44787	1.57	0	98.43	hpgpAsia
392	HpGP-JAP-026	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
393	HpGP-JAP-028	142237	0.12	0	99.88	hpgpAsia	44787	1.32	0	98.68	hpgpAsia
394	HpGP-JAP-029	142237	0.24	0	99.76	hpgpAsia	44787	1.15	0	98.85	hpgpAsia
395	HpGP-JAP-101	142237	0.65	0	99.35	hpgpAsia	44787	0	0	100	hpgpAsia
396	HpGP-JAP-102	142237	0	75.37	24.63	hpgpEurasia	44787	0	79.61	20.39	hpgpEurasia
397	HpGP-JAP-103	142237	0	3.31	96.69	hpgpAsia	44787	0.44	1.43	98.14	hpgpAsia
398	HpGP-JAP-104	142237	0.14	67.45	32.41	hpgpEurasia	44787	0	70.12	29.88	hpgpEurasia
399	HpGP-JAP-105	142237	0	7.63	92.37	hpgpAsia	44787	0	1.99	98.01	hpgpAsia
400	HpGP-JAP-106	142237	0	4.74	95.26	hpgpAsia	44787	0.66	0	99.34	hpgpAsia
401	HpGP-JAP-107	142237	0	0	100	hpgpAsia	44787	0.46	0	99.54	hpgpAsia
402	HpGP-JAP-108	142237	0.61	3.23	96.15	hpgpAsia	44787	0.1	4.77	95.13	hpgpAsia
403	HpGP-JAP-109	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
404	HpGP-JAP-110	142237	35.11	62.37	2.52	hpgpEuroamerica	44787	34.68	65.32	0	hpgpEuroamerica
405	HpGP-JAP-111	142237	0.07	0	99.93	hpgpAsia	44787	0.48	0	99.52	hpgpAsia
406	HpGP-JAP-112	142237	0	6.26	93.74	hpgpAsia	44787	0	5.38	94.62	hpgpAsia
407	HpGP-JAP-113	142237	0	0	100	hpgpAsia	44787	1.02	0	98.98	hpgpAsia
408	HpGP-JAP-114	142237	0	9.39	90.61	hpgpAsia	44787	0.89	5.73	93.38	hpgpAsia
409	HpGP-JAP-115	142237	0.1	0	99.9	hpgpAsia	44787	1.12	0	98.88	hpgpAsia
410	HpGP-JOR-001	142237	3.91	96.09	0	hpgpEurope	44787	7.74	92.26	0	hpgpEurope
411	HpGP-JOR-002	142237	5.31	94.69	0	hpgpEurope	44787	11.1	88.9	0	hpgpEurope
412	HpGP-JOR-003	142237	6.82	93.18	0	hpgpEurope	44787	10.95	89.05	0	hpgpMediterranea
413	HpGP-JOR-004	142237	5.51	94.49	0	hpgpEurope	44787	9.79	90.21	0	hpgpEurope
414	HpGP-JOR-005	142237	11.74	88.26	0	hpgpMediterranea	44787	17.14	82.86	0	hpgpMediterranea
415	HpGP-JOR-006	142237	7.49	92.51	0	hpgpEurope	44787	12.72	87.28	0	hpgpMediterranea
416	HpGP-JOR-007	142237	12.13	87.87	0	hpgpMediterranea	44787	17.82	82.18	0	hpgpMediterranea
417	HpGP-JOR-008	142237	14.63	85.37	0	hpgpMediterranea	44787	19.71	80.29	0	hpgpMediterranea
418	HpGP-JOR-009	142237	7.67	92.33	0	hpgpMediterranea	44787	13.6	86.4	0	hpgpMediterranea
419	HpGP-JOR-010	142237	6.01	93.99	0	hpgpEurope	44787	10.15	89.85	0	hpgpEurope
420	HpGP-KAZ-001	142237	3.86	96.14	0	hpgpEurope	44787	5.01	94.99	0	hpgpEurope
421	HpGP-KAZ-002	142237	0	43.33	56.67	hpgpEurasia	44787	0	44.49	55.51	hpgpEurasia
422	HpGP-KGZ-001	142237	1.11	97.31	1.58	hpgpEurope	44787	2.65	96.81	0.53	hpgpEurope
423	HpGP-KGZ-002	142237	0	95.15	4.85	hpgpEurope	44787	0	94.76	5.24	hpgpEurope
424	HpGP-KGZ-003	142237	1.65	98.35	0	hpgpEurope	44787	4.34	95.66	0	hpgpEurope
425	HpGP-KGZ-004	142237	0	59.97	40.03	hpgpEurasia	44787	0	60.5	39.5	hpgpEurasia
426	HpGP-KGZ-005	142237	0	72.65	27.35	hpgpEurasia	44787	0	71.34	28.66	hpgpEurasia
427	HpGP-KGZ-006	142237	0	46.69	53.31	hpgpEurasia	44787	0	47.08	52.92	hpgpEurasia
428	HpGP-KGZ-007	142237	0	77.31	22.69	hpgpEurasia	44787	0	75.65	24.35	hpgpEurasia
429	HpGP-KGZ-008	142237	0.49	91.71	7.8	hpgpEurope	44787	3.46	87.34	9.2	hpgpEurope
430	HpGP-KGZ-009	142237	0	92.19	7.81	hpgpEurope	44787	0	94.12	5.88	hpgpEurope
431	HpGP-KGZ-010	142237	0	66.09	33.91	hpgpEurasia	44787	0	65.12	34.88	hpgpEurasia
432	HpGP-KOR-001	142237	0	1.44	98.56	hpgpAsia	44787	0	0.09	99.91	hpgpAsia
433	HpGP-KOR-002	142237	0	3.16	96.84	hpgpAsia	44787	1.53	0	98.47	hpgpAsia
434	HpGP-KOR-004	142237	0	1.39	98.61	hpgpAsia	44787	0	0	100	hpgpAsia
435	HpGP-KOR-005	142237	0	1.29	98.71	hpgpAsia	44787	1.75	0	98.25	hpgpAsia
436	HpGP-KOR-006	142237	0	0	100	hpgpAsia	44787	1.59	0	98.41	hpgpAsia
437	HpGP-KOR-007	142237	0	0	100	hpgpAsia	44787	0.56	0	99.44	hpgpAsia
438	HpGP-KOR-008	142237	0	3.27	96.73	hpgpAsia	44787	0.27	0	99.73	hpgpAsia
439	HpGP-KOR-009	142237	0	1.29	98.71	hpgpAsia	44787	0	0	100	hpgpAsia
440	HpGP-KOR-010	142237	0	0	100	hpgpAsia	44787	0.18	0	99.82	hpgpAsia
441	HpGP-KOR-012	142237	0	4.58	95.42	hpgpAsia	44787	0.77	0.61	98.61	hpgpAsia
442	HpGP-KOR-013	142237	0	6.5	93.5	hpgpAsia	44787	0	2.99	97.01	hpgpAsia
443	HpGP-KOR-014	142237	0	0	100	hpgpAsia	44787	0.63	0	99.37	hpgpAsia
444	HpGP-KOR-016	142237	0	4.15	95.85	hpgpAsia	44787	0	1.31	98.69	hpgpAsia
445	HpGP-KOR-019	142237	0	4.45	95.55	hpgpAsia	44787	0	4.18	95.82	hpgpAsia
446	HpGP-KOR-020	142237	0	1.11	98.89	hpgpAsia	44787	1.64	0	98.36	hpgpAsia
447	HpGP-KOR-021	142237	0	6.37	93.63	hpgpAsia	44787	0	3.91	96.09	hpgpAsia
448	HpGP-KOR-022	142237	0	0.04	99.96	hpgpAsia	44787	0.37	0	99.63	hpgpAsia
449	HpGP-KOR-023	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
450	HpGP-KOR-024	142237	0	5	95	hpgpAsia	44787	0	6.97	93.03	hpgpAsia
451	HpGP-KOR-025	142237	0	0.28	99.72	hpgpAsia	44787	0	0.45	99.55	hpgpAsia
452	HpGP-KOR-027	142237	0	8.44	91.56	hpgpAsia	44787	0	5.59	94.41	hpgpAsia
453	HpGP-KOR-028	142237	0	0	100	hpgpAsia	44787	0.08	0	99.92	hpgpAsia
454	HpGP-KOR-029	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
455	HpGP-KOR-032	142237	0	37.71	62.29	hpgpEurasia	44787	0	38.32	61.68	hpgpEurasia
456	HpGP-KOR-033	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
457	HpGP-KOR-034	142237	0	0.54	99.46	hpgpAsia	44787	0.47	0	99.53	hpgpAsia
458	HpGP-KOR-035	142237	0	1.39	98.61	hpgpAsia	44787	0	0	100	hpgpAsia
459	HpGP-KOR-036	142237	0	8.11	91.89	hpgpAsia	44787	0	6.87	93.13	hpgpAsia
460	HpGP-KOR-037	142237	0	11.58	88.42	hpgpAsia	44787	0	10.66	89.34	hpgpAsia
461	HpGP-KOR-041	142237	0	0.37	99.63	hpgpAsia	44787	0.79	0	99.21	hpgpAsia
462	HpGP-KOR-042	142237	0	6.96	93.04	hpgpAsia	44787	0	8.15	91.85	hpgpAsia
463	HpGP-KOR-043	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
464	HpGP-KOR-044	142237	0	0.29	99.71	hpgpAsia	44787	0.42	0	99.58	hpgpAsia
465	HpGP-KOR-045	142237	0	2.71	97.29	hpgpAsia	44787	0	0	100	hpgpAsia
466	HpGP-KOR-046	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
467	HpGP-KOR-047	142237	0	2.06	97.94	hpgpAsia	44787	0	3.56	96.44	hpgpAsia
468	HpGP-KOR-048	142237	0	0	100	hpgpAsia	44787	0.31	0	99.69	hpgpAsia
469	HpGP-KOR-049	142237	0	0	100	hpgpAsia	44787	1.02	0	98.98	hpgpAsia
470	HpGP-KOR-050	142237	0	1.9	98.1	hpgpAsia	44787	0	0	100	hpgpAsia
471	HpGP-KOR-051	142237	0	2.11	97.89	hpgpAsia	44787	0.04	0.07	99.9	hpgpAsia
472	HpGP-KOR-052	142237	0	0	100	hpgpAsia	44787	1.22	0	98.78	hpgpAsia
473	HpGP-KOR-053	142237	0	0	100	hpgpAsia	44787	0.85	0	99.15	hpgpAsia
474	HpGP-KOR-101	142237	0	0.89	99.11	hpgpAsia	44787	0.45	0	99.55	hpgpAsia
475	HpGP-KOR-105	142237	0	7.22	92.78	hpgpAsia	44787	0	5.39	94.61	hpgpAsia
476	HpGP-KOR-109	142237	0	0.67	99.33	hpgpAsia	44787	0	0	100	hpgpAsia
477	HpGP-KOR-110	142237	0	0	100	hpgpAsia	44787	0.17	0	99.83	hpgpAsia
478	HpGP-KOR-111	142237	0	0	100	hpgpAsia	44787	0.26	0	99.74	hpgpAsia
